language,speakers
'Are'are,18000
'Auhelawa,1200
Aari,298300
Abaga,5
Abau,7270
Abinomn,300
Abkhaz,190110
Abon,1000
Abure,93000
Adang,3000
Adja,1133000
Adonara,98000
Adyghe,575900
Afrikaans,7200000
Afro-Seminole Creole,200
Agariya,72000
Aghu,3000
Aghul,29300
Aguaruna,56584
Aikanã,200
Ainu,10
Airoran,1000
Ajië,5400
Akan,11000000
Akha,600000
Akhvakh,210
Akurio,0
Alaba-K’abeena,287000
Alamblak,1500
Alangan,2150
Alawa,12
Albanian Sign Language,3000
Alekano,25000
Aleut,200
Algerian Arabic,29400000
Alorese,25000
Alyutor,11
Amahuaca,310
Amanab,4400
Amba,40100
Ambrak,290
American Sign Language,250000
Amharic,21900000
Ami,30
Amonap,1000
Amung,14000
Andaman Creole Hindi,20000
Andoque,370
Angguruk Yali,15000
Annobonese Creole,5600
Anus,70
Anêm,800
Ao,261000
Apalaí,650
Aragonese,8500
Aralle-Tabulahan,12000
Arawak,2500
Arbore,7210
Archi,970
Are,1200
Ari,50
Armenian,6700000
Aromanian,112960
Arutani,5
Asháninka,73567
Ashéninka,9881
Assamese,15300000
Asturian,560000
Atikamekw,6160
Atsugewi,200
Avar,766500
Awa Pit,12055
Awadhi,22000000
Awetï,170
Awjila,3000
Axininca,4000
Ayacucho Quechua,918200
Aymara,4000000
Ayoreo,2189
Azerbaijani,23000000
Baba Malay,12000
Babalia Creole Arabic,3900
Babatana,7070
Babine-Witsuwit'en,175
Bacanese Malay,6
Badaga,134000
Badeshi,3
Bagheli,8000000
Bagirmi,44800
Bagvalal,1450
Bahnar,160000
Baiso,5480
Bakairi,950
Balaesang,3200
Balantak,30000
Baldemu,4
Balinese,3300000
Balinese Malay,25000
Balkan Gagauz,464000
Balkan Romani,563670
Balkar dialect,75000
Balochi,7600000
Bana,23000
Bangime,3500
Bangla,300000000
Bangolan,14000
Banliku,65000
Barakai,4450
Barasana-Eduria,1900
Bargu-Shineken Buriyad,65000
Bashkardi,7030
Bashkir,1200000
Basketo,92600
Basque,750000
Bats,3420
Baudo,5000
Bavarian,14100000
Belarusian,5094928
Bhili,3310000
Bhojpuri,52200000
Biao,80000
Bintauna,12000
Binukid,168234
Bishnupriya Manipuri,117500
Bislama,10000
Blagar,10000
Bolango,23000
Bolinao,51000
Bonan,10000
Bonda,9000
Bono,3000000
Bora,2400
Bororo,1400
Botlikh,210
Brazilian Sign Language,3000000
Breton,206000
British Sign Language,77000
Broome Pearling Lugger Pidgin,45
Bu-Nao,390000
Budukh,200
Bugis,5517800
Bulgarian,9000000
Bulgarian Sign Language,37000
Bulu,860000
Bunuba,110
Bunun,38000
Burarra,1070
Burji,70100
Burmese,32900000
Buryat,329000
Bussa,19020
Bwe Karen,17200
Cabiyari,270
Cahuilla,6
Cajamarca Quechua,30000
Caló,60000
Cameroon Pidgin,2000000
Camsá,4000
Candoshi-Shapra,1120
Cape Verdean Creole,871000
Caquinte,500
Carabayo,150
Carapana,482
Caribbean Javanese,60000
Carijona,10
Carrier,1270
Cashinahua,1200
Catalan,4873396
Catio,15000
Cayuga,55
Cebuano,15900000
Central Atlas Tamazight,3000000
Central Nahuatl,40000
Central Pashto,6520000
Central Siberian Yupik,1800
Central Sierra Miwok,12
Cha'palaa,10000
Chachapoyas Quechua,7000
Chadian Arabic,1100000
Chakma,326000
Chakobo,600
Chamacoco,2000
Chamalal,500
Chamicuro,2
Chaná,1
Chayahuita,14000
Chechen,1393900
Chepang,36807
Cherokee,12300
Chewa,12000000
Cheyenne,2400
Chhattisgarhi,16300000
Chickasaw,75
Chilcotin,860
Chimane,5300
Chinali,220
Chipaya,1800
Chipewyan,11325
Chiquitano,2400
Chittagonian,13000000
Chuj,43370
Chukchi,5100
Chulym,44
Chuukese,51330
Chuvash,1279650
Ch’orti’,30000
Cimbrian,400
Coatepec Nahuatl,1400
Cocama,250
Coeur d'Alene,4
Comanche,915
Comox,40
Congo Swahili,9101000
Cook Islands Maori,17500
Cornish,600
Corsican,151000
Cree,10875
Crimean Tatar,552740
Croatian Sign Language,13000
Cubeo,6300
Cuiba,2900
Culina,3900
Cusco Quechua,1500000
Cuyonon,120000
Cypriot Arabic,140
Czech,10700000
Daasanach,60500
Dagbani,4160000
Dahalik,2500
Daknī,12800000
Dakota,20000
Danish,11142240
Dari,9600000
Darling,110
Daur,96085
Dena'ina,75
Dendi,10000
Deni,740
Deyah,20000
Dhangu,310
Dhundari,9600000
Dhungaloo,0
Diodio,2200
Dirasha,65000
Dogri,2000000
Dogrib,1735
Dolgan,1054
Domari,1340000
Dombe,5430
Dongxiang,200000
