,language,speakers,percentage
0,'Are'are,18000,0.00023394108105677798
1,'Auhelawa,1200,1.5596072070451865e-05
2,Aari,298300,0.003876923582179826
3,Abaga,5,6.498363362688277e-08
4,Abau,7270,9.448620329348756e-05
5,Abinomn,300,3.899018017612966e-06
6,Abkhaz,190110,0.0024708077177613367
7,Abon,1000,1.2996726725376554e-05
8,Abure,93000,0.0012086955854600195
9,Adang,3000,3.899018017612966e-05
10,Adja,1133000,0.014725291379851636
11,Adonara,98000,0.0012736792190869023
12,Adyghe,575900,0.007484814921144357
13,Afrikaans,7200000,0.09357643242271119
14,Afro-Seminole Creole,200,2.599345345075311e-06
15,Agariya,72000,0.0009357643242271119
16,Aghu,3000,3.899018017612966e-05
17,Aghul,29300,0.0003808040930535331
18,Aguaruna,56584,0.0007354067850287069
19,Aikanã,200,2.599345345075311e-06
20,Ainu,10,1.2996726725376554e-07
21,Airoran,1000,1.2996726725376554e-05
22,Ajië,5400,7.018232431703339e-05
23,Akan,11000000,0.1429639939791421
24,Akha,600000,0.007798036035225933
25,Akhvakh,210,2.7293126123290764e-06
26,Akurio,0,0.0
27,Alaba-K’abeena,287000,0.0037300605701830712
28,Alamblak,1500,1.949509008806483e-05
29,Alangan,2150,2.794296245955959e-05
30,Alawa,12,1.5596072070451864e-07
31,Albanian Sign Language,3000,3.899018017612966e-05
32,Alekano,25000,0.00032491816813441383
33,Aleut,200,2.599345345075311e-06
34,Algerian Arabic,29400000,0.3821037657260707
35,Alorese,25000,0.00032491816813441383
36,Alyutor,11,1.429639939791421e-07
37,Amahuaca,310,4.028985284866732e-06
38,Amanab,4400,5.718559759165684e-05
39,Amba,40100,0.0005211687416875998
40,Ambrak,290,3.7690507503592007e-06
41,American Sign Language,250000,0.0032491816813441385
42,Amharic,21900000,0.2846283152857465
43,Ami,30,3.8990180176129663e-07
44,Amonap,1000,1.2996726725376554e-05
45,Amung,14000,0.00018195417415527176
46,Andaman Creole Hindi,20000,0.0002599345345075311
47,Andoque,370,4.808788888389325e-06
48,Angguruk Yali,15000,0.00019495090088064831
49,Annobonese Creole,5600,7.27816696621087e-05
50,Anus,70,9.097708707763588e-07
51,Anêm,800,1.0397381380301243e-05
52,Ao,261000,0.003392145675323281
53,Apalaí,650,8.44787237149476e-06
54,Aragonese,8500,0.00011047217716570071
55,Aralle-Tabulahan,12000,0.00015596072070451865
56,Arawak,2500,3.2491816813441386e-05
57,Arbore,7210,9.370639968996495e-05
58,Archi,970,1.2606824923615256e-05
59,Are,1200,1.5596072070451865e-05
60,Ari,50,6.498363362688277e-07
61,Armenian,6700000,0.08707806906002291
62,Aromanian,112960,0.0014681102508985356
63,Arutani,5,6.498363362688277e-08
64,Asháninka,73567,0.0009561301950057771
65,Ashéninka,9881,0.00012842065677344573
66,Assamese,15300000,0.19884991889826129
67,Asturian,560000,0.007278166966210871
68,Atikamekw,6160,8.005983662831957e-05
69,Atsugewi,200,2.599345345075311e-06
70,Avar,766500,0.009961991035001129
71,Awa Pit,12055,0.00015667554067441437
72,Awadhi,22000000,0.2859279879582842
73,Awetï,170,2.2094435433140142e-06
74,Awjila,3000,3.899018017612966e-05
75,Axininca,4000,5.198690690150622e-05
76,Ayacucho Quechua,918200,0.011933594479240752
77,Aymara,4000000,0.051986906901506216
78,Ayoreo,2189,2.8449834801849275e-05
79,Azerbaijani,23000000,0.2989247146836608
80,Baba Malay,12000,0.00015596072070451865
81,Babalia Creole Arabic,3900,5.068723422896856e-05
82,Babatana,7070,9.188685794841223e-05
83,Babine-Witsuwit'en,175,2.274427176940897e-06
84,Bacanese Malay,6,7.798036035225932e-08
85,Badaga,134000,0.0017415613812004583
86,Badeshi,3,3.899018017612966e-08
87,Bagheli,8000000,0.10397381380301243
88,Bagirmi,44800,0.0005822533572968696
89,Bagvalal,1450,1.8845253751796004e-05
90,Bahnar,160000,0.0020794762760602487
91,Baiso,5480,7.122206245506352e-05
92,Bakairi,950,1.2346890389107725e-05
93,Balaesang,3200,4.1589525521204974e-05
94,Balantak,30000,0.00038990180176129663
95,Baldemu,4,5.1986906901506216e-08
96,Balinese,3300000,0.04288919819374263
97,Balinese Malay,25000,0.00032491816813441383
98,Balkan Gagauz,464000,0.006030481200574721
99,Balkan Romani,563670,0.007325864953293003
100,Balkar dialect,75000,0.0009747545044032416
101,Balochi,7600000,0.0987751231128618
102,Bana,23000,0.0002989247146836608
103,Bangime,3500,4.548854353881794e-05
104,Bangla,300000000,3.8990180176129665
105,Bangolan,14000,0.00018195417415527176
106,Banliku,65000,0.000844787237149476
107,Barakai,4450,5.783543392792567e-05
108,Barasana-Eduria,1900,2.469378077821545e-05
109,Bargu-Shineken Buriyad,65000,0.000844787237149476
110,Bashkardi,7030,9.136698887939718e-05
111,Bashkir,1200000,0.015596072070451866
112,Basketo,92600,0.001203496894769869
113,Basque,750000,0.009747545044032416
114,Bats,3420,4.4448805400787816e-05
115,Baudo,5000,6.498363362688277e-05
116,Bavarian,14100000,0.1832538468278094
117,Belarusian,5094928,0.06621738690146932
118,Bhili,3310000,0.0430191654609964
119,Bhojpuri,52200000,0.6784291350646561
120,Biao,80000,0.0010397381380301243
121,Bintauna,12000,0.00015596072070451865
122,Binukid,168234,0.002186491323916999
123,Bishnupriya Manipuri,117500,0.001527115390231745
124,Bislama,10000,0.00012996726725376554
125,Blagar,10000,0.00012996726725376554
126,Bolango,23000,0.0002989247146836608
127,Bolinao,51000,0.0006628330629942043
128,Bonan,10000,0.00012996726725376554
129,Bonda,9000,0.00011697054052838899
130,Bono,3000000,0.038990180176129666
131,Bora,2400,3.119214414090373e-05
132,Bororo,1400,1.8195417415527176e-05
133,Botlikh,210,2.7293126123290764e-06
134,Brazilian Sign Language,3000000,0.038990180176129666
135,Breton,206000,0.00267732570542757
136,British Sign Language,77000,0.0010007479578539947
137,Broome Pearling Lugger Pidgin,45,5.848527026419449e-07
138,Bu-Nao,390000,0.005068723422896856
139,Budukh,200,2.599345345075311e-06
140,Bugis,5517800,0.07171333872528275
141,Bulgarian,9000000,0.11697054052838898
142,Bulgarian Sign Language,37000,0.0004808788888389325
143,Bulu,860000,0.011177184983823836
144,Bunuba,110,1.429639939791421e-06
145,Bunun,38000,0.0004938756155643091
146,Burarra,1070,1.3906497596152915e-05
147,Burji,70100,0.0009110705434488965
148,Burmese,32900000,0.4275923092648886
149,Buryat,329000,0.004275923092648886
150,Bussa,19020,0.000247197742316662
151,Bwe Karen,17200,0.0002235436996764767
152,Cabiyari,270,3.5091162158516697e-06
153,Cahuilla,6,7.798036035225932e-08
154,Cajamarca Quechua,30000,0.00038990180176129663
